Test Score,Retest Score,Age,Gender
1.56409769001408,1.50084638663544,31,Man
1.37853024116775,0.198207442453658,23,Woman
2.87595067038491,1.89416302075526,36,Woman
1.53023045687996,1.94940355586062,23,Woman
0.79255890024784,1.32297136531333,52,Woman
0.261396330024137,0.864342306739102,24,Other
1.27497787437496,-0.743197285404379,30,Woman
2.62798617144283,2.64363865252967,32,Woman
2.29068573696074,2.00744920040277,32,Man
2.899822100986,1.40847476489861,39,Woman
2.69842854942357,2.89319237765055,25,Woman
-0.0213665532080409,-0.00259296397146213,32,Woman
1.19569137564641,0.789512211123859,21,Woman
1.64069321219802,1.10297317754409,21,Woman
-0.770697545540912,0.195205734283775,21,Woman
2.10920628758367,2.53804131437143,21,Woman
0.343644368388227,-0.114203750759209,61,Woman
